(clubs, x, clubs, clubs) -> clubs
(clubs, x, clubs, spade) -> spade
(clubs, x, clubs, heart) -> clubs
(clubs, x, clubs, dimnd) -> spade
(clubs, x, spade, clubs) -> dimnd
(clubs, x, spade, spade) -> heart
(clubs, x, spade, heart) -> clubs
(clubs, x, spade, dimnd) -> clubs
(clubs, x, heart, clubs) -> spade
(clubs, x, heart, spade) -> dimnd
(clubs, x, heart, heart) -> dimnd
(clubs, x, heart, dimnd) -> spade
(clubs, x, dimnd, clubs) -> dimnd
(clubs, x, dimnd, spade) -> heart
(clubs, x, dimnd, heart) -> heart
(clubs, x, dimnd, dimnd) -> clubs
(spade, x, clubs, clubs) -> spade
(spade, x, clubs, spade) -> spade
(spade, x, clubs, heart) -> spade
(spade, x, clubs, dimnd) -> clubs
(spade, x, spade, clubs) -> heart
(spade, x, spade, spade) -> dimnd
(spade, x, spade, heart) -> heart
(spade, x, spade, dimnd) -> clubs
(spade, x, heart, clubs) -> heart
(spade, x, heart, spade) -> spade
(spade, x, heart, heart) -> dimnd
(spade, x, heart, dimnd) -> heart
(spade, x, dimnd, clubs) -> dimnd
(spade, x, dimnd, spade) -> heart
(spade, x, dimnd, heart) -> heart
(spade, x, dimnd, dimnd) -> dimnd
(heart, x, clubs, clubs) -> heart
(heart, x, clubs, spade) -> spade
(heart, x, clubs, heart) -> heart
(heart, x, clubs, dimnd) -> dimnd
(heart, x, spade, clubs) -> clubs
(heart, x, spade, spade) -> spade
(heart, x, spade, heart) -> clubs
(heart, x, spade, dimnd) -> dimnd
(heart, x, heart, clubs) -> spade
(heart, x, heart, spade) -> clubs
(heart, x, heart, heart) -> spade
(heart, x, heart, dimnd) -> heart
(heart, x, dimnd, clubs) -> clubs
(heart, x, dimnd, spade) -> spade
(heart, x, dimnd, heart) -> clubs
(heart, x, dimnd, dimnd) -> dimnd
(dimnd, x, clubs, clubs) -> heart
(dimnd, x, clubs, spade) -> clubs
(dimnd, x, clubs, heart) -> dimnd
(dimnd, x, clubs, dimnd) -> spade
(dimnd, x, spade, clubs) -> dimnd
(dimnd, x, spade, spade) -> dimnd
(dimnd, x, spade, heart) -> spade
(dimnd, x, spade, dimnd) -> heart
(dimnd, x, heart, clubs) -> dimnd
(dimnd, x, heart, spade) -> clubs
(dimnd, x, heart, heart) -> heart
(dimnd, x, heart, dimnd) -> clubs
(dimnd, x, dimnd, clubs) -> spade
(dimnd, x, dimnd, spade) -> heart
(dimnd, x, dimnd, heart) -> clubs
(dimnd, x, dimnd, dimnd) -> dimnd
