(clubs, clubs, x, clubs) -> spade
(clubs, clubs, x, spade) -> heart
(clubs, clubs, x, heart) -> dimnd
(clubs, clubs, x, dimnd) -> clubs
(clubs, spade, x, clubs) -> spade
(clubs, spade, x, spade) -> dimnd
(clubs, spade, x, heart) -> spade
(clubs, spade, x, dimnd) -> dimnd
(clubs, heart, x, clubs) -> heart
(clubs, heart, x, spade) -> heart
(clubs, heart, x, heart) -> spade
(clubs, heart, x, dimnd) -> dimnd
(clubs, dimnd, x, clubs) -> heart
(clubs, dimnd, x, spade) -> clubs
(clubs, dimnd, x, heart) -> spade
(clubs, dimnd, x, dimnd) -> spade
(spade, clubs, x, clubs) -> clubs
(spade, clubs, x, spade) -> spade
(spade, clubs, x, heart) -> clubs
(spade, clubs, x, dimnd) -> heart
(spade, spade, x, clubs) -> heart
(spade, spade, x, spade) -> spade
(spade, spade, x, heart) -> heart
(spade, spade, x, dimnd) -> dimnd
(spade, heart, x, clubs) -> clubs
(spade, heart, x, spade) -> clubs
(spade, heart, x, heart) -> clubs
(spade, heart, x, dimnd) -> dimnd
(spade, dimnd, x, clubs) -> clubs
(spade, dimnd, x, spade) -> heart
(spade, dimnd, x, heart) -> spade
(spade, dimnd, x, dimnd) -> clubs
(heart, clubs, x, clubs) -> heart
(heart, clubs, x, spade) -> spade
(heart, clubs, x, heart) -> heart
(heart, clubs, x, dimnd) -> dimnd
(heart, spade, x, clubs) -> clubs
(heart, spade, x, spade) -> heart
(heart, spade, x, heart) -> dimnd
(heart, spade, x, dimnd) -> spade
(heart, heart, x, clubs) -> spade
(heart, heart, x, spade) -> heart
(heart, heart, x, heart) -> dimnd
(heart, heart, x, dimnd) -> clubs
(heart, dimnd, x, clubs) -> heart
(heart, dimnd, x, spade) -> dimnd
(heart, dimnd, x, heart) -> clubs
(heart, dimnd, x, dimnd) -> heart
(dimnd, clubs, x, clubs) -> clubs
(dimnd, clubs, x, spade) -> dimnd
(dimnd, clubs, x, heart) -> heart
(dimnd, clubs, x, dimnd) -> dimnd
(dimnd, spade, x, clubs) -> spade
(dimnd, spade, x, spade) -> spade
(dimnd, spade, x, heart) -> dimnd
(dimnd, spade, x, dimnd) -> dimnd
(dimnd, heart, x, clubs) -> spade
(dimnd, heart, x, spade) -> spade
(dimnd, heart, x, heart) -> clubs
(dimnd, heart, x, dimnd) -> heart
(dimnd, dimnd, x, clubs) -> dimnd
(dimnd, dimnd, x, spade) -> clubs
(dimnd, dimnd, x, heart) -> dimnd
(dimnd, dimnd, x, dimnd) -> clubs
