(clubs, clubs, clubs, x) -> spade
(clubs, clubs, spade, x) -> spade
(clubs, clubs, heart, x) -> clubs
(clubs, clubs, dimnd, x) -> spade
(clubs, spade, clubs, x) -> heart
(clubs, spade, spade, x) -> dimnd
(clubs, spade, heart, x) -> spade
(clubs, spade, dimnd, x) -> heart
(clubs, heart, clubs, x) -> spade
(clubs, heart, spade, x) -> dimnd
(clubs, heart, heart, x) -> heart
(clubs, heart, dimnd, x) -> clubs
(clubs, dimnd, clubs, x) -> clubs
(clubs, dimnd, spade, x) -> spade
(clubs, dimnd, heart, x) -> dimnd
(clubs, dimnd, dimnd, x) -> spade
(spade, clubs, clubs, x) -> spade
(spade, clubs, spade, x) -> clubs
(spade, clubs, heart, x) -> heart
(spade, clubs, dimnd, x) -> clubs
(spade, spade, clubs, x) -> dimnd
(spade, spade, spade, x) -> heart
(spade, spade, heart, x) -> dimnd
(spade, spade, dimnd, x) -> clubs
(spade, heart, clubs, x) -> dimnd
(spade, heart, spade, x) -> spade
(spade, heart, heart, x) -> heart
(spade, heart, dimnd, x) -> clubs
(spade, dimnd, clubs, x) -> heart
(spade, dimnd, spade, x) -> clubs
(spade, dimnd, heart, x) -> dimnd
(spade, dimnd, dimnd, x) -> heart
(heart, clubs, clubs, x) -> dimnd
(heart, clubs, spade, x) -> dimnd
(heart, clubs, heart, x) -> dimnd
(heart, clubs, dimnd, x) -> spade
(heart, spade, clubs, x) -> heart
(heart, spade, spade, x) -> clubs
(heart, spade, heart, x) -> dimnd
(heart, spade, dimnd, x) -> clubs
(heart, heart, clubs, x) -> spade
(heart, heart, spade, x) -> dimnd
(heart, heart, heart, x) -> clubs
(heart, heart, dimnd, x) -> clubs
(heart, dimnd, clubs, x) -> spade
(heart, dimnd, spade, x) -> heart
(heart, dimnd, heart, x) -> heart
(heart, dimnd, dimnd, x) -> heart
(dimnd, clubs, clubs, x) -> heart
(dimnd, clubs, spade, x) -> heart
(dimnd, clubs, heart, x) -> clubs
(dimnd, clubs, dimnd, x) -> clubs
(dimnd, spade, clubs, x) -> clubs
(dimnd, spade, spade, x) -> dimnd
(dimnd, spade, heart, x) -> heart
(dimnd, spade, dimnd, x) -> spade
(dimnd, heart, clubs, x) -> dimnd
(dimnd, heart, spade, x) -> heart
(dimnd, heart, heart, x) -> spade
(dimnd, heart, dimnd, x) -> dimnd
(dimnd, dimnd, clubs, x) -> clubs
(dimnd, dimnd, spade, x) -> dimnd
(dimnd, dimnd, heart, x) -> spade
(dimnd, dimnd, dimnd, x) -> spade
